station_id,network,operator,name,city,division,lat,lon,monitor_type,coord_precision,source_url,notes
GAIA-10,GAIA A12 (aqicn),DoE + World Air Quality Index project,Department of Environment,Cumilla,Chattogram,23.472988,91.180671,low-cost,approx,https://aqicn.org/network/doebd/,"Co-located at CAMS-16"
GAIA-11,GAIA A12 (aqicn),DoE + World Air Quality Index project,Jalil Sarani Boyra,Khulna,Khulna,22.835775,89.529056,low-cost,approx,https://aqicn.org/network/doebd/,"Co-located at CAMS-8"
GAIA-12,GAIA A12 (aqicn),DoE + World Air Quality Index project,Divisional Forest Officer Office Paba,Rajshahi,Rajshahi,24.400000,88.620000,low-cost,approx,https://aqicn.org/station/bangladesh-paba-upazila-divisional-forest-officer-office/,"Salbagan Power House, Airport Rd, Paba Upazila"
GAIA-13,GAIA A12 (aqicn),DoE + World Air Quality Index project,Bangladesh Red Crescent Society,Sylhet,Sylhet,24.888334,91.867347,low-cost,approx,https://aqicn.org/network/doebd/,"South Surma; near CAMS-10"
GAIA-14,GAIA A12 (aqicn),DoE + World Air Quality Index project,Divisional Forest Officer Office,Barishal,Barishal,22.710287,90.362598,low-cost,approx,https://aqicn.org/network/doebd/,"Co-located at CAMS-11"
GAIA-15,GAIA A12 (aqicn),DoE + World Air Quality Index project,Bangladesh Television Rangpur Subcenter,Rangpur,Rangpur,25.747371,89.228931,low-cost,approx,https://aqicn.org/network/doebd/,"Co-located at CAMS-13"
GAIA-16,GAIA A12 (aqicn),DoE + World Air Quality Index project,Department of Environment,Mymensingh,Mymensingh,24.762458,90.402102,low-cost,approx,https://aqicn.org/network/doebd/,"Co-located at CAMS-12"
GAIA-17,GAIA A12 (aqicn),DoE + World Air Quality Index project,BUET Campus,Dhaka,Dhaka,23.727591,90.392797,low-cost,approx,https://aqicn.org/network/doebd/,"Co-located near C-CAMS-25"
COMM-01,aqicn AirNet community,AirGradient Co. Ltd.,RAJUK Uttara Apartment Project Sector 18,Dhaka,Dhaka,23.875500,90.380000,low-cost,approx,https://aqicn.org/station/country/bd/bangladesh/,"AirGradient community monitor, Uttara"
COMM-02,aqicn AirNet community,ww-khulna,Rupsha Strand Road,Khulna,Khulna,22.800000,89.573000,low-cost,approx,https://aqicn.org/station/country/bd/bangladesh/,"Community monitor"
COMM-03,aqicn AirNet community,Jahangirnagar University,Jahangirnagar University,Savar,Dhaka,23.882500,90.267300,low-cost,approx,https://aqicn.org/station/country/bd/bangladesh/,"University campus monitor"
COMM-04,aqicn AirNet community,Community,Gulshan-2 Rob Bhaban,Dhaka,Dhaka,23.794600,90.414500,low-cost,approx,https://aqicn.org/station/@469258/,"Community monitor, Gulshan-2"
COMM-05,aqicn AirNet community,BUET,BUET Azimpur,Dhaka,Dhaka,23.726600,90.388000,low-cost,approx,https://aqicn.org/station/country/bd/bangladesh/,"University community monitor"
PA-01,PurpleAir,DoE / research groups (UW-BUET and others),PurpleAir Dhaka cluster (US Embassy collocation),Dhaka,Dhaka,23.797500,90.426700,low-cost,approx,https://map.purpleair.com/bangladesh,"ALREADY OPERATING units - not the 55 proposed. Representative point for ~17 DoE-operated PA-II units + research clusters; see live map for current sensors"
IQA-01,IQAir contributor,Anonymous contributor,Savar monitor,Savar,Dhaka,23.858300,90.266700,low-cost,approx,https://www.iqair.com/bangladesh,"City-level approximation"
IQA-02,IQAir contributor,Anonymous contributor,Sakhipur monitor,Sakhipur,Dhaka,24.442500,90.175800,low-cost,approx,https://www.iqair.com/bangladesh,"City-level approximation"
IQA-03,IQAir contributor,Anonymous contributor,Tangail monitor,Tangail,Dhaka,24.251300,89.916700,low-cost,approx,https://www.iqair.com/bangladesh,"City-level approximation"
IQA-04,IQAir contributor,Anonymous contributor,Mirzapur monitor,Mirzapur,Dhaka,24.102500,90.097700,low-cost,approx,https://www.iqair.com/bangladesh,"City-level approximation"
IQA-05,IQAir contributor,Anonymous contributor,Nagarpur monitor,Nagarpur,Dhaka,24.057400,89.886200,low-cost,approx,https://www.iqair.com/bangladesh,"City-level approximation"
IQA-06,IQAir contributor,Anonymous contributor,Sreepur monitor,Sreepur,Dhaka,24.200000,90.484200,low-cost,approx,https://www.iqair.com/bangladesh,"City-level approximation"
IQA-07,IQAir contributor,Anonymous contributor,Kishoreganj monitor,Kishoreganj,Dhaka,24.426000,90.782000,low-cost,approx,https://www.iqair.com/bangladesh,"City-level approximation"
IQA-08,IQAir contributor,Anonymous contributor,Manikganj monitor,Manikganj,Dhaka,23.861700,90.000300,low-cost,approx,https://www.iqair.com/bangladesh,"City-level approximation"
SPART-1,SPARTAN,SPARTAN network / Dhaka University,SPARTAN Dhaka site,Dhaka,Dhaka,23.734000,90.392900,reference,approx,https://www.spartan-network.org,"Filter-based PM2.5 chemical speciation site, Dhaka University campus"
